epoch,train Loss,training accuracy
1,0.17375557419937177,93.58156028368795
2,0.05844094372575353,97.97084318360915
3,0.03624284831274296,98.7785657998424
4,0.030399791162408384,99.01891252955083
5,0.025609305846055655,99.18045705279748
6,0.02376002703456761,99.18045705279748
7,0.01993387446912531,99.30654058313633
8,0.018791567513147582,99.34200157604413
9,0.015701487649504978,99.44838455476753
10,0.021694521821066196,99.22379826635147
11,0.020504172073060795,99.31048069345941
12,0.013644845816318696,99.51536643026004
13,0.019065353944229455,99.32624113475177
14,0.019391927545891773,99.31442080378251
15,0.018694153700144617,99.36170212765958
16,0.01526578019195698,99.47990543735224
17,0.016592700883398783,99.44838455476753
18,0.017806319405182198,99.41686367218281
19,0.019430887422546776,99.35776201733648
20,0.028248830929499816,99.01891252955083
21,0.017370165054515,99.3932230102443
22,0.012047788282899279,99.60992907801418
23,0.02031697942436819,99.37352245862884
24,0.014426943251186647,99.5665878644602
25,0.01634668287056892,99.43262411347517
26,0.0281485945634196,99.04649330181246
27,0.0167666070909996,99.424743892829
28,0.01587054859096644,99.49960598896769
29,0.013176288143516757,99.602048857368
30,0.016661955775585543,99.49960598896769
31,0.01457517805854754,99.55870764381403
32,0.020479999873343153,99.34594168636723
33,0.012337567124611546,99.57446808510639
34,0.016250199004930684,99.45626477541371
35,0.012481516491993912,99.54688731284476
36,0.01538720461144362,99.49960598896769
37,0.01785912755837791,99.40504334121356
38,0.012304769315269684,99.65327029156816
39,0.017837908482249684,99.42080378250591
40,0.01791358744143325,99.34594168636723
41,0.011961819084376425,99.61780929866036
42,0.011512896526955146,99.64144996059889
43,0.016576007273174945,99.46414499605989
44,0.014370159528055971,99.49960598896769
45,0.01472797754623944,99.5350669818755
46,0.01653060345233625,99.49172576832152
47,0.013437761396092695,99.5665878644602
48,0.01634097093976524,99.424743892829
49,0.01583303315125795,99.47596532702916
50,0.01569139990365992,99.50354609929079
51,0.012767983694194837,99.59416863672182
52,0.030691528055648825,98.87312844759654
53,0.014703292244672114,99.51142631993696
54,0.016080948883615113,99.51142631993696
55,0.012810452808021788,99.60598896769109
56,0.013180993260155961,99.57446808510639
57,0.014453138426037331,99.50354609929079
58,0.027474426102040702,99.04649330181246
59,0.015115682641269017,99.50354609929079
60,0.014268334167577374,99.51142631993696
61,0.011691244965370965,99.61386918833728
62,0.014067686713306883,99.5665878644602
63,0.014153200426415801,99.54294720252167
64,0.0372769385915036,98.672182821119
65,0.014261026470362332,99.49172576832152
66,0.015901427380992463,99.51142631993696
67,0.013995244793332981,99.5311268715524
68,0.031061396174099063,98.92828999211977
69,0.01637576953069453,99.42868400315209
70,0.012941796695622721,99.59022852639873
71,0.012609436809403365,99.5665878644602
72,0.017601793845132958,99.42868400315209
73,0.011287130936434867,99.59416863672182
74,0.01761905580430948,99.44838455476753
75,0.015221421505578472,99.47990543735224
76,0.012552284566907839,99.60992907801418
77,0.013639378029398958,99.55870764381403
78,0.0135672411692155,99.55870764381403
79,0.014988917908355135,99.46808510638297
80,0.013212197526136338,99.59022852639873
81,0.015711251236826776,99.50354609929079
82,0.015447404917640174,99.48384554767533
83,0.011494880607563575,99.62962962962963
84,0.01456320459635514,99.49960598896769
85,0.012272174951800757,99.59416863672182
86,0.014566523494762005,99.55082742316786
87,0.016237547517568094,99.47202521670607
88,0.01365632356267279,99.58234830575256
89,0.018710160156433238,99.38534278959811
90,0.013454842352781883,99.5311268715524
91,0.013250821128997099,99.58234830575256
92,0.01433517157212153,99.4956658786446
93,0.012471718600445844,99.57446808510639
94,0.01703518031908447,99.43262411347517
95,0.014100410983503914,99.54294720252167
96,0.01367496350447855,99.5311268715524
97,0.035442646696244,98.8849487785658
98,0.018845135359632233,99.36564223798267
99,0.0142749518719322,99.49960598896769
100,0.014859059429986655,99.53900709219859
