epoch,train Loss,training accuracy
1,0.7485316558110611,77.83293932230102
2,0.18311858984360646,93.0614657210402
3,0.12534093458977527,95.55949566587864
4,0.08805955964227928,96.81639085894405
5,0.071327771032574,97.48620961386919
6,0.05408763810287694,98.08116627265562
7,0.03569944798239999,98.82978723404256
8,0.03099013637444753,98.95193065405832
9,0.029808684649302374,99.09377462568952
10,0.020107938750544996,99.28684003152088
11,0.017597724494235877,99.47202521670607
12,0.018894617813218266,99.43656422379826
13,0.015590877775370729,99.47596532702916
14,0.011064075578836964,99.68085106382979
15,0.014372671211674667,99.57052797478329
16,0.010341394437655698,99.68479117415288
17,0.009276909774568937,99.68085106382979
18,0.011311256771837284,99.66115051221435
19,0.00880424201322759,99.68085106382979
20,0.0075232782038011725,99.77147360126084
21,0.0059406538836669605,99.83845547675335
22,0.003721269325560097,99.89755713159968
23,0.00633270662566355,99.81481481481481
24,0.004534507616184965,99.86603624901498
25,0.004516980123831074,99.85027580772262
26,0.006649594490886252,99.81481481481481
27,0.00693229823086692,99.79905437352245
28,0.005846383597295953,99.822695035461
29,0.006763922793310014,99.84239558707644
30,0.0054531162846100595,99.84633569739952
31,0.004064592567061579,99.91331757289204
32,0.006432578306732317,99.83057525610717
33,0.0028303958165920066,99.91331757289204
34,0.0020888218201993965,99.9290780141844
35,0.00383912608265042,99.90543735224587
36,0.00317708440906638,99.89755713159968
37,0.0021435240760008787,99.93301812450748
38,0.004481281420103574,99.8936170212766
39,0.0030904136173859945,99.8936170212766
40,0.0018397783198107354,99.96059889676911
41,0.00021061028274346822,99.99605988967691
42,0.000453962305425442,99.98423955870764
43,0.0039012689784237837,99.88179669030734
44,0.006737466773835409,99.84239558707644
45,0.005209548334673629,99.86603624901498
46,0.003956143375080197,99.87785657998424
47,0.004132963415599827,99.90937746256895
48,0.0031809517092573378,99.92119779353821
49,0.0006717231331234923,99.98817966903073
50,0.0037622099749863164,99.9251379038613
51,0.0047647386876709,99.84633569739952
52,0.0041371881746813015,99.90149724192278
53,0.0035863665704581713,99.91725768321513
54,0.0018775019037853505,99.94877856579984
55,0.0010594363825241378,99.95271867612293
56,0.0015482462801162356,99.9645390070922
57,0.0012301728280514784,99.96847911741528
58,0.0020748085291406424,99.95271867612293
59,0.0025623822858482793,99.91725768321513
60,0.001020386571185658,99.94877856579984
61,0.0025264080459048597,99.9251379038613
62,0.0011706646278657538,99.97635933806147
63,0.005317794427704109,99.89755713159968
64,0.00283433077602057,99.96059889676911
65,0.00204649180904756,99.96847911741528
66,0.006156840426934009,99.84633569739952
67,0.0015572457928589073,99.9645390070922
68,0.004304946754286504,99.92119779353821
69,0.001788797288975803,99.98029944838456
70,0.0038919342375552165,99.91331757289204
71,0.0025551342751643663,99.94877856579984
72,0.0018411445432596153,99.98029944838456
73,0.0016497286111993488,99.9645390070922
74,0.002303534573641676,99.9290780141844
75,0.0023020959933747367,99.96059889676911
76,0.0027190768287951115,99.93695823483057
77,0.0024833835421546034,99.94483845547676
78,0.003557528222494525,99.94877856579984
79,0.004381271650144137,99.94089834515366
80,0.004492329039698674,99.92119779353821
81,0.0018482317416719492,99.94877856579984
82,0.0045172026966199055,99.90543735224587
83,0.0021696013933474273,99.95665878644601
84,0.0020368921798885956,99.95665878644601
85,0.004144636952106218,99.91331757289204
86,0.002128773157542461,99.9645390070922
87,0.0013866691710149117,99.96847911741528
88,0.00046968920524996006,99.99211977935383
89,0.0028262214699826074,99.9251379038613
90,0.0036569068581636206,99.96059889676911
91,0.0002452135260265522,99.99211977935383
92,0.0012879002693201198,99.97635933806147
93,0.0011862288412821426,99.98029944838456
94,0.0018625355683179873,99.95665878644601
95,0.0031935383195005364,99.9645390070922
96,0.0021873065119587106,99.97635933806147
97,0.001631395576031613,99.96847911741528
98,0.0018529797352219582,99.94877856579984
99,0.002028059563475253,99.96847911741528
100,4.2000864437370105e-05,100.0
