epoch,train Loss,training accuracy
1,0.18818192611000054,91.5839243498818
2,0.05865464482744136,98.11268715524034
3,0.02973523282492203,98.9558707643814
4,0.02202709597830185,99.19227738376675
5,0.021879241125543666,99.30654058313633
6,0.024306838205122736,99.2119779353822
7,0.0187269677201079,99.36170212765958
8,0.012586463672079409,99.55082742316786
9,0.009186526878823697,99.72419227738378
10,0.010647871011415485,99.68873128447596
11,0.009644285143015496,99.71631205673759
12,0.005289386287752658,99.822695035461
13,0.007698591172678556,99.79511426319937
14,0.0071522659700763574,99.7872340425532
15,0.008293607034372937,99.79905437352245
16,0.0042070458951171145,99.86209613869188
17,0.0037368721134214454,99.86997635933807
18,0.004690177001101163,99.88967691095351
19,0.0058330086705704175,99.81875492513791
20,0.0064176308816211395,99.86997635933807
21,0.004380173691263744,99.89755713159968
22,0.001792518430246909,99.95665878644601
23,0.00519991932625305,99.8936170212766
24,0.0037878883674533313,99.91331757289204
25,0.004179786191879973,99.94483845547676
26,0.004484674840983025,99.88179669030734
27,0.0013723885665133586,99.96847911741528
28,0.0022481416710729593,99.94483845547676
29,0.00197501100928451,99.95271867612293
30,0.003133174772103261,99.94877856579984
31,0.005310014601272538,99.9251379038613
32,0.002073953035851019,99.97635933806147
33,0.0038439491975900066,99.94877856579984
34,0.006447248721459114,99.89755713159968
35,0.001880075837894081,99.95665878644601
36,0.002445328360002685,99.96847911741528
37,0.0021033928773143877,99.95665878644601
38,0.004131002163405257,99.90543735224587
39,0.0032566519561111834,99.95271867612293
40,0.002700294300526886,99.93695823483057
41,0.00309951730951885,99.9290780141844
42,0.0015713559774611472,99.9645390070922
43,0.003235045613134288,99.95271867612293
44,0.0053723901637773306,99.95271867612293
45,0.0010487367503212673,99.97241922773837
46,0.004116550151612283,99.8936170212766
47,0.0021028161557184715,99.91725768321513
48,0.0016459364041665626,99.96059889676911
49,0.003948775416300291,99.95271867612293
50,0.0005089859361530168,99.98423955870764
51,0.001312673130241471,99.98029944838456
52,0.0015066954604800646,99.97635933806147
53,0.0016720053838094775,99.97241922773837
54,0.003900992363650918,99.96059889676911
55,0.0007381099326983077,99.98817966903073
56,3.6469522295304077e-07,100.0
57,0.004706055076276185,99.9290780141844
58,0.0031047219143659796,99.95665878644601
59,0.00659257551797478,99.90149724192278
60,0.0017777646359174947,99.96059889676911
61,0.00258330120632343,99.98029944838456
62,0.000943581352710815,99.99605988967691
63,0.004673580704445459,99.94483845547676
64,0.0005392017379352409,99.97241922773837
65,0.0006297913892267843,99.98817966903073
66,0.004766915826859028,99.97241922773837
67,0.00018527434831669298,99.99605988967691
68,0.0008648928169064456,99.99211977935383
69,0.002668867133583083,99.96847911741528
70,0.0020664239314193227,99.96059889676911
71,0.002306685354374883,99.96847911741528
72,0.0019536166443061723,99.9645390070922
73,0.0019876666243722418,99.99211977935383
74,0.0022212423658313544,99.96059889676911
75,0.0019423077465070145,99.98423955870764
76,0.002570579896027795,99.95271867612293
77,2.472580240212909e-07,100.0
78,0.00013601769123991684,99.99605988967691
79,2.598727734711307e-09,100.0
80,4.826430347230642e-10,100.0
81,4.2597426127552613e-10,100.0
82,4.311822436091553e-10,100.0
83,2.385289466688499e-10,100.0
84,2.0907704793622473e-09,100.0
85,2.4944812173302163e-11,100.0
86,1.2027328763261162e-09,100.0
87,0.004396112904766526,99.9645390070922
88,0.0018072640126503348,99.98029944838456
89,0.0011970486348799514,99.96847911741528
90,0.0016840220297945502,99.95271867612293
91,0.002771591421881353,99.9645390070922
92,0.0010225114228343205,99.98423955870764
93,0.00168764503270155,99.99605988967691
94,0.0005219256409394263,99.99211977935383
95,0.000975117077383974,99.97635933806147
96,0.0014797869906059296,99.98817966903073
97,1.5384001515548648e-07,100.0
98,4.992658960313208e-09,100.0
99,2.4356746525990445e-09,100.0
100,8.372819488891629e-08,100.0
